texmf-dist/tex/latex/panda/BusyPanda.sty:29:19:29:39: s412 malformed function name
texmf-dist/tex/latex/panda/BusyPanda.sty:31:13:31:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:31:18:31:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:31:19:31:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:41:1:41:96: s103 line too long
texmf-dist/tex/latex/panda/BusyPanda.sty:42:1:42:112: s103 line too long
texmf-dist/tex/latex/panda/BusyPanda.sty:56:10:56:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:56:35:56:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:56:36:56:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:56:37:56:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:56:43:56:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:57:10:57:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:57:22:57:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:57:23:57:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:57:24:57:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:57:31:57:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:58:10:58:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:58:22:58:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:58:23:58:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:58:24:58:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:58:31:58:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:59:10:59:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:59:26:59:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:59:27:59:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:59:28:59:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:59:35:59:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:60:10:60:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:60:19:60:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:60:20:60:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:60:21:60:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:60:28:60:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:61:10:61:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:61:22:61:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:61:23:61:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:61:24:61:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:61:31:61:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:62:10:62:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:62:14:62:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:62:15:62:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:62:16:62:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:62:23:62:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:63:10:63:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:63:14:63:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:63:15:63:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:63:16:63:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:63:23:63:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:64:10:64:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:64:15:64:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:64:16:64:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:64:17:64:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:64:24:64:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:65:10:65:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:65:15:65:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:65:16:65:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:65:17:65:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:65:24:65:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:66:10:66:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:66:16:66:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:66:17:66:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:66:18:66:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:66:25:66:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:67:10:67:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:67:19:67:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:67:20:67:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:67:21:67:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:67:28:67:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:68:10:68:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:68:15:68:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:68:16:68:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:68:17:68:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:68:24:68:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:69:10:69:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:69:15:69:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:69:16:69:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:69:17:69:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:69:24:69:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:70:10:70:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:70:32:70:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:70:33:70:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:70:34:70:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:70:41:70:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:71:10:71:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:71:13:71:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:71:14:71:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:71:15:71:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:71:22:71:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:72:10:72:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:72:16:72:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:72:17:72:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:72:18:72:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:72:25:72:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:73:10:73:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:73:19:73:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:73:20:73:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:73:21:73:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:73:28:73:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:74:10:74:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:74:21:74:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:74:22:74:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:74:23:74:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:74:30:74:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:75:10:75:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:75:23:75:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:75:24:75:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:75:25:75:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:75:32:75:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:76:10:76:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:76:13:76:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:76:14:76:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/panda/BusyPanda.sty:76:15:76:15: s204 missing stylistic whitespaces
