texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:28:1:28:52: w401 unused private function
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:28:21:28:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:28:53:28:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:29:18:29:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:29:22:29:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:30:26:30:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:32:15:32:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:32:16:32:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:32:43:32:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:33:7:33:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:33:17:33:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:33:22:33:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:33:23:33:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:33:33:33:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:7:34:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:22:34:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:26:34:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:27:34:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:55:34:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:57:34:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:34:64:34:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:36:12:36:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:36:40:36:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:36:44:36:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:36:51:36:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:36:52:36:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:36:62:36:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:38:22:38:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:38:54:38:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:13:40:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:14:40:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:15:40:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:16:40:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:32:40:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:36:40:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:37:40:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:40:38:40:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:42:22:42:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:42:51:42:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:13:44:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:14:44:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:15:44:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:16:44:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:35:44:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:36:44:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:43:44:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:44:44:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:45:44:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:44:46:44:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:46:22:46:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-generic-helper.sty:46:49:46:49: s204 missing stylistic whitespaces
