texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:27:1:27:52: w401 unused private function
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:27:21:27:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:27:53:27:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:28:18:28:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:28:22:28:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:29:26:29:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:31:15:31:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:31:16:31:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:31:43:31:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:1:32:82: s103 line too long
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:7:32:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:22:32:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:23:32:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:38:32:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:42:32:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:43:32:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:71:32:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:73:32:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:32:80:32:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:34:12:34:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:34:40:34:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:34:44:34:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/phosphoricons/phosphoricons-utex-helper.sty:34:51:34:51: s204 missing stylistic whitespaces
