texmf-dist/tex/latex/polyglossia/polyglossia.sty:1797:65:1797:65: e304 unexpected parameter number
texmf-dist/tex/latex/polyglossia/polyglossia.sty:8:17:8:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:8:25:8:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:10:17:10:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:10:25:10:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:10:26:10:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:11:17:11:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:11:22:11:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:13:56:13:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:13:58:13:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:13:61:13:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:13:69:13:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:21:22:21:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:21:42:21:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:21:45:21:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:21:46:21:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:30:23:30:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:30:24:30:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:30:35:30:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:46:4:46:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:47:1:47:83: s103 line too long
texmf-dist/tex/latex/polyglossia/polyglossia.sty:65:31:65:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:70:31:70:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:81:22:81:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:81:35:81:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:81:38:81:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:81:39:81:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:17:84:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:18:84:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:28:84:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:29:84:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:30:84:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:35:84:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/polyglossia/polyglossia.sty:84:36:84:36: s204 missing stylistic whitespaces
