texmf-dist/tex/latex/preview/preview.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/preview/preview.sty:26:17:26:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:26:24:26:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:27:17:27:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:27:23:27:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:28:14:28:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:28:24:28:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:29:1:29:82: s103 line too long
texmf-dist/tex/latex/preview/preview.sty:29:18:29:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:29:25:29:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:29:26:29:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:34:44:34:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:34:45:34:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:34:47:34:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:34:49:34:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:15:35:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:27:35:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:28:35:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:45:35:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:53:35:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:54:35:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:35:55:35:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:36:16:36:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:36:24:36:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:36:25:36:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:37:30:37:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:38:57:38:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:39:22:39:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:40:16:40:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:40:22:40:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:40:23:40:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:40:24:40:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:42:20:42:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:43:62:43:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:44:67:44:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:44:71:44:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:44:72:44:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:44:73:44:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:46:44:46:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:48:15:48:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:50:27:50:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:50:28:50:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:51:16:51:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:51:23:51:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:51:24:51:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:51:25:51:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:56:16:56:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:56:23:56:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:56:24:56:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:59:38:59:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:59:54:59:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:59:55:59:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:62:16:62:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:62:21:62:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:62:22:62:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:62:23:62:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:64:30:64:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:65:16:65:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:65:49:65:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:66:16:66:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:67:16:67:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:67:17:67:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:67:53:67:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:67:54:67:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:68:39:68:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:68:40:68:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:68:54:68:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:68:55:68:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:69:16:69:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:69:17:69:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:69:53:69:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:69:54:69:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:69:59:69:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:69:60:69:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:70:14:70:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:70:15:70:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:70:27:70:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:70:28:70:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:70:29:70:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:70:30:70:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:71:16:71:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:71:22:71:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:71:23:71:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/preview/preview.sty:71:24:71:24: s204 missing stylistic whitespaces
