texmf-dist/tex/latex/query-astro/query-astro.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/query-astro/query-astro.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:32:24:32:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:34:24:34:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:34:35:34:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:35:25:35:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:35:31:35:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:36:22:36:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:36:32:36:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:37:29:37:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:37:79:37:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:45:1:45:94: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:45:46:45:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:45:57:45:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:45:58:45:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:45:59:45:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:45:92:45:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:54:1:54:98: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:55:1:55:93: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:80:16:80:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:80:42:80:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:83:23:83:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:83:45:83:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:94:1:94:85: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:95:1:95:95: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:96:1:96:89: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:99:37:99:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:99:38:99:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:99:44:99:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:103:1:103:95: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:103:10:103:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:103:16:103:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:104:1:104:93: s103 line too long
texmf-dist/tex/latex/query-astro/query-astro.sty:104:10:104:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:104:14:104:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:106:23:106:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:106:34:106:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:106:35:106:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:106:36:106:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:106:58:106:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/query-astro/query-astro.sty:106:59:106:59: s204 missing stylistic whitespaces
