texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:61:46:61:62: w202 deprecated control sequences
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:89:44:89:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:89:66:89:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:89:67:89:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:90:53:90:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:90:58:90:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:111:20:111:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:111:42:111:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:114:20:114:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:114:45:114:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes-util.sty:161:1:161:89: s103 line too long
