texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:76:14:76:33: e418 setting a constant
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:538:20:538:47: e417 setting a variable as a constant
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:539:20:539:48: e417 setting a variable as a constant
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:540:20:540:41: e417 setting a variable as a constant
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:42:17:42:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:42:23:42:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:43:17:43:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:43:24:43:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:45:17:45:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:45:26:45:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:46:17:46:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:46:35:46:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:53:16:53:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:53:29:53:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:53:30:53:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:53:35:53:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:54:16:54:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:54:29:54:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:54:30:54:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:54:34:54:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rbt-mathnotes/rbt-mathnotes.sty:55:16:55:16: s204 missing stylistic whitespaces
