texmf-dist/tex/latex/rcs/rcs.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/rcs/rcs.sty:102:21:102:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:102:43:102:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:104:27:104:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:104:30:104:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:104:31:104:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:105:3:105:3: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:105:50:105:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:126:61:126:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:127:23:127:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:127:27:127:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:128:22:128:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:131:15:131:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:131:18:131:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:131:19:131:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:131:20:131:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:131:48:131:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:330:5:330:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:330:32:330:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:330:42:330:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:330:43:330:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:331:9:331:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:331:21:331:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:331:25:331:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:332:9:332:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:332:19:332:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:332:23:332:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:334:6:334:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:351:10:351:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:356:5:356:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:356:27:356:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:356:28:356:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:357:14:357:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:357:27:357:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:357:31:357:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:362:5:362:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:362:17:362:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:362:18:362:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:363:17:363:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:363:53:363:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:364:33:364:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:364:51:364:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:366:22:366:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:368:5:368:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:368:23:368:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:368:24:368:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:19:369:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:28:369:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:40:369:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:41:369:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:43:369:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:44:369:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:47:369:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:369:48:369:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:415:20:415:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:417:30:417:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:420:16:420:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:420:19:420:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:420:31:420:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:420:32:420:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:420:40:420:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:423:18:423:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:423:42:423:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:445:5:445:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:445:24:445:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:445:33:445:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:445:34:445:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:446:33:446:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:447:17:447:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:447:37:447:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:447:55:447:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:448:21:448:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:451:5:451:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:451:25:451:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:451:36:451:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:454:9:454:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:454:32:454:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:457:21:457:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:460:5:460:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:460:28:460:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:460:39:460:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:511:15:511:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:520:30:520:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:520:44:520:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:520:48:520:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:521:5:521:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:521:20:521:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:521:23:521:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:522:19:522:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:522:33:522:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:522:37:522:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:522:48:522:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:522:62:522:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:522:63:522:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:543:18:543:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:544:39:544:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:544:40:544:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:567:5:567:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:567:17:567:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:567:21:567:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:567:31:567:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:567:32:567:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:569:42:569:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:572:5:572:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:572:25:572:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:572:26:572:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:573:12:573:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:577:7:577:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:585:24:585:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:586:79:586:79: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:587:18:587:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:587:53:587:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:587:54:587:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:602:29:602:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:604:33:604:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:605:25:605:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:605:29:605:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:622:19:622:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:622:28:622:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:622:29:622:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:623:16:623:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:623:36:623:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:627:5:627:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:627:17:627:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:627:18:627:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:628:24:628:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:628:29:628:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:628:30:628:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:647:13:647:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:650:3:650:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:650:20:650:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:650:22:650:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:650:23:650:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:652:5:652:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:652:22:652:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:652:26:652:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:652:27:652:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:653:18:653:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:654:17:654:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:657:21:657:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:670:5:670:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:670:19:670:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:670:20:670:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:672:12:672:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:672:27:672:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:672:28:672:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:674:11:674:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:16:676:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:19:676:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:20:676:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:21:676:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:57:676:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:58:676:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:676:59:676:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:680:49:680:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:681:11:681:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:693:5:693:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:693:25:693:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:693:26:693:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:700:6:700:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/rcs/rcs.sty:700:32:700:32: s204 missing stylistic whitespaces
