texmf-dist/tex/latex/spreadtab/spreadtab.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/spreadtab/spreadtab.sty:5:32:5:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:5:41:5:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:6:35:6:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:6:38:6:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:8:32:8:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:8:42:8:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:27:1:27:105: s103 line too long
texmf-dist/tex/latex/spreadtab/spreadtab.sty:27:18:27:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:27:27:27:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:27:28:27:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:28:17:28:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:28:24:28:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:28:25:28:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:29:17:29:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:29:33:29:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:31:1:31:94: s103 line too long
texmf-dist/tex/latex/spreadtab/spreadtab.sty:36:5:36:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:36:14:36:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:37:5:37:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/spreadtab/spreadtab.sty:37:15:37:15: s204 missing stylistic whitespaces
