texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1499:5:1499:21: w202 deprecated control sequences
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1531:32:1531:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1531:39:1531:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1531:40:1531:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1531:41:1531:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1531:45:1531:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1531:46:1531:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1573:32:1573:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1573:33:1573:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1574:34:1574:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1574:35:1574:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1575:41:1575:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1575:42:1575:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1576:28:1576:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1577:35:1577:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1577:36:1577:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-core.code.tex:1578:34:1578:34: s204 missing stylistic whitespaces
