texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:29:32:29:46: w200 "do not use" argument specifiers
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:35:15:35:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:35:20:35:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:35:22:35:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:35:36:35:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:37:15:37:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:37:20:37:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:37:22:37:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:37:44:37:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:39:15:39:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:39:20:39:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:39:22:39:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:39:40:39:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:41:15:41:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:41:20:41:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:41:21:41:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:41:22:41:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:41:35:41:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:43:15:43:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:43:20:43:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:43:21:43:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:43:22:43:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:43:43:43:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:46:15:46:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:46:20:46:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:46:21:46:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:46:22:46:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:46:46:46:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:53:15:53:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:53:20:53:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:53:21:53:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:53:22:53:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:53:38:53:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:55:15:55:15: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:55:20:55:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:55:21:55:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-kernel-language.code.tex:55:22:55:22: s204 missing stylistic whitespaces
