texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:46:9:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:51:9:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:52:9:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:53:9:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:59:9:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:60:9:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:61:9:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:9:68:9:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:10:4:10:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:10:42:10:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:43:12:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:45:12:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:46:12:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:47:12:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:52:12:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:53:12:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:54:12:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:12:60:12:60: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:1:13:101: s103 line too long
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:20:13:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:21:13:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:26:13:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:28:13:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:29:13:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:13:101:13:101: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikz-tensor-networks/tenkz-language-registry.tex:14:43:14:43: s204 missing stylistic whitespaces
