texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:27:1:27:13: w101 unexpected delimiters
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:42:25:42:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:42:47:42:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:43:25:43:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:43:48:43:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:44:25:44:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:44:49:44:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:45:25:45:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:45:49:45:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:46:25:46:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:46:53:46:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:58:49:58:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:58:71:58:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:60:1:60:82: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:60:69:60:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:61:1:61:116: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:61:84:61:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:61:112:61:112: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:1:65:104: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:21:65:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:42:65:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:49:65:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:52:65:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:73:65:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:65:74:65:102: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:69:41:69:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:69:48:69:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:69:52:69:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:69:73:69:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:73:22:73:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:73:45:73:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:73:49:73:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:77:46:77:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:77:69:77:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:80:40:80:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:80:64:80:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:81:40:81:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:81:64:81:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:86:26:86:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:86:55:86:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:87:1:87:86: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:87:54:87:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.hexagon.code.tex:87:58:87:78: s204 missing stylistic whitespaces
