texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:27:1:27:13: w101 unexpected delimiters
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:49:25:49:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:49:47:49:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:50:25:50:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:50:48:50:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:51:25:51:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:51:48:51:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:52:25:52:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:52:49:52:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:53:25:53:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:53:49:53:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:54:25:54:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:54:53:54:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:55:25:55:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:55:46:55:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:56:25:56:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:56:47:56:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:57:25:57:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:57:49:57:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:75:1:75:116: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:75:84:75:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:75:112:75:112: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:77:49:77:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:77:71:77:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:81:1:81:92: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:81:66:81:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:81:87:81:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:82:1:82:92: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:83:1:83:98: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:83:82:83:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:83:92:83:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:85:1:85:89: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:85:64:85:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:85:87:85:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:87:1:87:85: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:87:58:87:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:87:81:87:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:88:43:88:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:88:44:88:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:89:41:89:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:89:44:89:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:89:54:89:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:89:59:89:68: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:89:69:89:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:91:1:91:103: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:94:1:94:104: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:96:38:96:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:96:48:96:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:97:38:97:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:97:48:97:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:103:1:103:83: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:104:12:104:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:107:1:107:83: s103 line too long
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:108:12:108:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzfill/tikzlibraryfill.rhombus.code.tex:110:1:110:96: s103 line too long
