texmf-dist/tex/latex/tikzquads/tikzquads.sty:42:1:42:19: e408 calling an undefined function
texmf-dist/tex/latex/tikzquads/tikzquads.sty:173:39:173:65: e405 function variant for an undefined function
texmf-dist/tex/latex/tikzquads/tikzquads.sty:174:25:174:51: e405 function variant for an undefined function
texmf-dist/tex/latex/tikzquads/tikzquads.sty:34:1:34:13: w101 unexpected delimiters
texmf-dist/tex/latex/tikzquads/tikzquads.sty:41:17:41:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:41:28:41:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:44:21:44:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:44:30:44:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:45:21:45:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:45:30:45:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:46:21:46:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:46:31:46:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:47:21:47:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:47:25:47:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:48:21:48:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:48:70:48:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:54:17:54:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:54:29:54:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:55:17:55:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:55:30:55:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:57:18:57:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:101:1:101:62: w401 unused private function
texmf-dist/tex/latex/tikzquads/tikzquads.sty:105:11:105:31: w415 unused variable or constant
texmf-dist/tex/latex/tikzquads/tikzquads.sty:106:11:106:31: w415 unused variable or constant
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:37:110:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:38:110:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:39:110:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:40:110:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:47:110:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:48:110:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:110:50:110:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:112:19:112:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:112:39:112:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:113:8:113:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:114:20:114:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:114:28:114:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:115:8:115:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:115:18:115:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:115:19:115:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:115:20:115:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquads/tikzquads.sty:115:45:115:45: s204 missing stylistic whitespaces
