texmf-dist/tex/latex/tikzquests/tikzquests.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/tikzquests/tikzquests.sty:21:17:21:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:21:24:21:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:21:25:21:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:32:28:32:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:33:34:33:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:33:44:33:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:35:31:35:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:36:31:36:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:37:31:37:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:38:21:38:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:38:24:38:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:39:76:39:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:50:15:50:39: w416 setting an undeclared variable
texmf-dist/tex/latex/tikzquests/tikzquests.sty:50:43:50:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:50:69:50:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:51:15:51:40: w416 setting an undeclared variable
texmf-dist/tex/latex/tikzquests/tikzquests.sty:51:44:51:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:51:47:51:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:52:15:52:38: w416 setting an undeclared variable
texmf-dist/tex/latex/tikzquests/tikzquests.sty:52:41:52:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:52:47:52:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:54:18:54:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:88:32:88:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:88:35:88:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:123:16:123:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:123:26:123:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:123:29:123:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:123:55:123:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:132:16:132:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:132:26:132:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:132:29:132:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:132:47:132:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:141:16:141:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:141:26:141:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:141:29:141:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:141:45:141:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:151:16:151:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:151:26:151:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:151:29:151:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:151:39:151:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:161:16:161:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:161:26:161:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:161:29:161:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:161:33:161:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:184:25:184:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:184:57:184:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:24:186:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:34:186:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:35:186:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:36:186:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:54:186:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:55:186:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:56:186:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:65:186:65: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:186:66:186:66: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tikzquests/tikzquests.sty:191:25:191:25: s204 missing stylistic whitespaces
