texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:21:17:21:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:21:24:21:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:21:25:21:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:32:28:32:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:33:34:33:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:33:48:33:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:35:35:35:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:36:32:36:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:37:31:37:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:38:21:38:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:38:24:38:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:39:64:39:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:45:35:45:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:45:42:45:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:61:33:61:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:63:45:63:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:63:52:63:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:64:12:64:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:64:17:64:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:67:21:67:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:67:44:67:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:69:33:69:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:71:49:71:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:71:72:71:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:75:27:75:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:75:53:75:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:76:1:76:99: s103 line too long
texmf-dist/tex/latex/tokglobalstack/tokglobalstack.sty:76:16:76:16: s204 missing stylistic whitespaces
