texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:21:17:21:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:21:24:21:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:21:25:21:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:32:28:32:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:33:34:33:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:33:46:33:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:35:33:35:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:36:30:36:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:37:31:37:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:38:21:38:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:38:24:38:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:39:1:39:82: s103 line too long
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:39:82:39:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:45:33:45:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:45:40:45:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:56:37:56:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:58:43:58:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:58:50:58:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:59:12:59:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:59:17:59:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:62:21:62:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:62:40:62:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:64:46:64:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:66:1:66:101: s103 line too long
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:66:52:66:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:66:71:66:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:67:48:67:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:67:67:67:67: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:70:48:70:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:72:1:72:105: s103 line too long
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:72:54:72:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:72:73:72:73: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tokgroupmark/tokgroupmark.sty:73:78:73:78: s204 missing stylistic whitespaces
