texmf-dist/tex/latex/tuda-ci/tudapub.cls:720:14:720:37: e420 locally setting a global variable
texmf-dist/tex/latex/tuda-ci/tudapub.cls:1392:27:1392:44: e418 setting a constant
texmf-dist/tex/latex/tuda-ci/tudapub.cls:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:36:24:36:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:36:25:36:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:1:37:107: s103 line too long
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:20:37:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:27:37:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:28:37:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:29:37:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:39:37:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:40:37:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:41:37:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:45:37:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:46:37:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:47:37:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:37:107:37:107: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:38:17:38:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:38:30:38:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:41:35:41:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:41:38:41:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:47:39:47:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:47:48:47:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:47:51:47:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:47:63:47:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:48:39:48:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:48:47:48:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:48:50:48:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:48:59:48:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tuda-ci/tudapub.cls:52:15:52:15: s204 missing stylistic whitespaces
