texmf-dist/tex/latex/tutodoc/tutodoc.cls:27:1:27:13: w101 unexpected delimiters
texmf-dist/tex/latex/tutodoc/tutodoc.cls:39:28:39:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:39:29:39:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:39:34:39:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:58:48:58:64: w202 deprecated control sequences
texmf-dist/tex/latex/tutodoc/tutodoc.cls:72:39:72:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:74:62:74:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:75:40:75:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:150:28:150:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:150:29:150:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:150:30:150:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:156:21:156:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:156:26:156:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:156:27:156:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:158:17:158:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:158:23:158:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:158:24:158:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:159:36:159:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:159:53:159:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:159:54:159:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:159:55:159:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:160:6:160:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:161:4:161:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:166:21:166:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:166:32:166:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:166:33:166:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:169:23:169:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:169:30:169:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:169:31:169:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:169:33:169:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:170:25:170:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:170:32:170:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:172:4:172:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:172:6:172:6: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:175:25:175:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:175:35:175:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:175:43:175:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:175:44:175:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:178:35:178:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:179:22:179:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:179:29:179:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:179:30:179:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:186:22:186:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:186:47:186:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:186:48:186:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:186:50:186:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:187:12:187:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:187:30:187:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:322:40:322:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:322:45:322:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:427:21:427:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:427:49:427:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:427:50:427:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:441:20:441:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:441:27:441:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:447:20:447:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:447:27:447:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:454:53:454:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:510:12:510:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:510:38:510:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:510:39:510:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:520:20:520:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:520:27:520:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:523:20:523:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:539:20:539:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:539:27:539:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:651:33:651:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:651:38:651:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:651:39:651:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:656:16:656:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:656:29:656:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:656:70:656:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:656:71:656:71: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:669:14:669:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:669:46:669:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:673:6:673:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:673:39:673:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:726:32:726:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:727:4:727:4: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:729:2:729:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:870:25:870:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:870:37:870:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:870:38:870:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:870:41:870:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:870:45:870:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:872:47:872:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:872:54:872:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:875:18:875:18: w303 braced N-type function call argument
texmf-dist/tex/latex/tutodoc/tutodoc.cls:881:16:881:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:881:38:881:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:888:16:888:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:888:43:888:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:898:2:898:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:899:16:899:16: w303 braced N-type function call argument
texmf-dist/tex/latex/tutodoc/tutodoc.cls:901:12:901:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:901:34:901:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:904:12:904:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:904:39:904:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:915:11:915:41: w415 unused variable or constant
texmf-dist/tex/latex/tutodoc/tutodoc.cls:925:40:925:40: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:925:43:925:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:925:49:925:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:926:10:926:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:926:22:926:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:926:23:926:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:928:8:928:8: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:928:20:928:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1097:36:1097:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1097:39:1097:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1097:43:1097:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1103:30:1103:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1103:34:1103:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1103:35:1103:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1103:36:1103:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1108:1:1108:91: s103 line too long
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1108:48:1108:85: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1108:86:1108:86: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1295:48:1295:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1295:61:1295:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1302:13:1302:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1302:16:1302:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1303:11:1303:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1303:17:1303:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1303:18:1303:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1303:19:1303:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1303:24:1303:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1304:13:1304:13: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1304:19:1304:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/tutodoc/tutodoc.cls:1306:19:1306:19: s204 missing stylistic whitespaces
