texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:25:17:25:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:25:24:25:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:25:25:25:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:36:28:36:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:37:34:37:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:37:47:37:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:39:34:39:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:40:21:40:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:40:29:40:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:41:21:41:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:41:31:41:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:42:21:42:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:42:26:42:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:43:21:43:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:43:49:43:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:63:12:63:38: w415 unused variable or constant
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:65:12:65:41: w415 unused variable or constant
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:90:45:90:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:91:44:91:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:92:44:92:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:93:47:93:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:94:55:94:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:124:47:124:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:125:54:125:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:126:49:126:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:127:49:127:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:128:49:128:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:140:47:140:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:141:54:141:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:142:49:142:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:143:49:143:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:144:49:144:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:156:47:156:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:157:54:157:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:158:49:158:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:159:49:159:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:160:49:160:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:179:47:179:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:180:54:180:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:181:49:181:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:182:49:182:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:183:49:183:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:192:50:192:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:193:49:193:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:194:48:194:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:195:46:195:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:196:49:196:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:201:47:201:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:202:49:202:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:203:49:203:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-core.sty:204:49:204:49: s204 missing stylistic whitespaces
