texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:25:17:25:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:25:24:25:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:25:25:25:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:36:28:36:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:37:34:37:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:37:48:37:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:39:35:39:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:40:21:40:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:40:29:40:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:41:21:41:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:41:31:41:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:42:21:42:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:42:26:42:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:43:21:43:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:43:43:43:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:50:36:50:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:50:42:50:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:55:2:55:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:58:42:58:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:58:47:58:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:62:2:62:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:68:33:68:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:68:39:68:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:73:2:73:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:79:39:79:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:79:47:79:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:80:55:80:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:83:39:83:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:88:1:88:83: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:93:43:93:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-cover.sty:102:57:102:57: s204 missing stylistic whitespaces
