texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:25:17:25:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:25:24:25:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:25:25:25:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:36:28:36:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:37:34:37:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:37:47:37:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:39:34:39:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:40:21:40:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:40:29:40:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:41:21:41:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:41:31:41:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:42:21:42:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:42:26:42:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:43:21:43:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:43:49:43:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:123:32:123:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:123:35:123:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:125:36:125:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:136:45:136:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:141:33:141:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:141:36:141:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:141:69:141:69: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:143:37:143:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:152:38:152:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:153:38:153:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-curr.sty:154:38:154:38: s204 missing stylistic whitespaces
