texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:25:17:25:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:25:24:25:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:25:25:25:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:36:17:36:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:36:28:36:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:37:34:37:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:37:46:37:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:39:33:39:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:40:21:40:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:40:29:40:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:41:21:41:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:41:31:41:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:42:21:42:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:42:26:42:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:43:21:43:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:43:74:43:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:76:24:76:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:77:22:77:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:150:41:150:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:150:47:150:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:150:56:150:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:153:52:153:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:155:45:155:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:156:52:156:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:159:1:159:83: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:159:46:159:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:159:55:159:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:162:46:162:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:162:54:162:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:164:45:164:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:172:1:172:84: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:172:56:172:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:175:1:175:87: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:175:50:175:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:175:59:175:87: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:180:1:180:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:180:84:180:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:182:50:182:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:182:64:182:64: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:183:46:183:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:183:57:183:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:189:1:189:90: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:189:84:189:84: s204 missing stylistic whitespaces
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:191:1:191:82: s103 line too long
texmf-dist/tex/latex/ufrgscca/ufrgscca-ppc.sty:191:50:191:50: s204 missing stylistic whitespaces
