texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:34:17:34:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:34:24:34:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:34:25:34:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:35:1:35:84: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:35:18:35:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:35:35:35:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:35:36:35:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:56:18:56:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:56:20:56:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:71:11:71:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:103:11:103:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:120:10:120:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:149:29:149:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:149:33:149:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:191:2:191:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:191:3:191:3: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:191:11:191:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:191:12:191:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:194:16:194:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:196:31:196:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:204:17:204:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:204:27:204:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:205:16:205:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:205:25:205:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:205:26:205:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:205:27:205:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:205:33:205:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:206:27:206:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:206:28:206:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:206:33:206:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:206:34:206:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:206:35:206:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:206:42:206:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:207:28:207:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:207:29:207:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:207:34:207:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:207:35:207:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:207:36:207:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:207:41:207:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:208:27:208:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:208:28:208:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:208:32:208:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:208:33:208:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:208:34:208:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:208:46:208:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:209:28:209:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:209:29:209:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:209:33:209:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:209:34:209:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:209:35:209:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:209:51:209:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:210:27:210:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:210:28:210:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:210:34:210:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:210:35:210:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:210:36:210:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:210:39:210:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:211:28:211:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:211:29:211:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:211:35:211:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:211:36:211:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:211:37:211:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:211:48:211:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:212:27:212:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:212:28:212:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:212:34:212:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:212:35:212:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:212:36:212:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:212:48:212:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:213:28:213:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:213:29:213:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:213:35:213:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:213:36:213:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:213:37:213:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:213:43:213:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-paper.cls:214:27:214:27: s204 missing stylistic whitespaces
