texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:35:17:35:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:35:24:35:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:35:25:35:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:36:1:36:85: s103 line too long
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:36:18:36:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:36:36:36:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:36:37:36:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:59:18:59:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:59:20:59:20: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:74:11:74:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:110:11:110:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:131:10:131:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:164:29:164:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:164:33:164:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:200:2:200:2: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:200:3:200:3: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:200:11:200:11: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:200:12:200:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:202:17:202:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:202:22:202:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:208:17:208:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:208:27:208:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:209:16:209:16: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:209:25:209:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:209:26:209:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:209:27:209:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:209:33:209:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:210:27:210:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:210:28:210:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:210:33:210:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:210:34:210:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:210:35:210:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:210:42:210:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:211:28:211:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:211:29:211:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:211:34:211:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:211:35:211:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:211:36:211:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:211:41:211:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:212:27:212:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:212:28:212:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:212:35:212:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:212:36:212:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:212:37:212:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:212:44:212:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:213:28:213:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:213:29:213:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:213:36:213:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:213:37:213:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:213:38:213:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:213:45:213:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:214:27:214:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:214:28:214:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:214:35:214:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:214:36:214:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:214:37:214:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:214:46:214:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:215:28:215:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:215:29:215:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:215:36:215:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:215:37:215:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:215:38:215:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:215:45:215:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:216:27:216:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:216:28:216:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:216:36:216:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:216:37:216:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:216:38:216:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:216:42:216:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:217:28:217:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:217:29:217:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:217:37:217:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:217:38:217:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:217:39:217:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:217:42:217:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:218:27:218:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:218:28:218:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:218:35:218:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:218:36:218:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:218:37:218:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:218:45:218:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:219:28:219:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:219:29:219:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:219:36:219:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:219:37:219:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:219:38:219:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:219:45:219:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:220:27:220:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:220:28:220:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:220:32:220:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:220:33:220:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:220:34:220:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:220:49:220:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:221:28:221:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:221:29:221:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:221:33:221:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:221:34:221:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:221:35:221:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/univie-ling/univie-ling-thesis.cls:221:50:221:50: s204 missing stylistic whitespaces
