texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:11:1:11:13: w101 unexpected delimiters
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:12:47:12:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:12:48:12:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:12:49:12:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:20:50:20:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:25:50:25:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:30:52:30:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:35:51:35:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:40:51:40:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:45:50:45:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:51:52:51:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:56:52:56:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:61:51:61:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:79:52:79:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:79:53:79:53: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:79:54:79:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:86:1:86:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:86:55:86:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:86:82:86:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:86:83:86:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:87:1:87:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:87:55:87:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:87:82:87:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:87:83:87:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:88:1:88:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:88:57:88:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:88:59:88:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:88:82:88:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:88:83:88:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:89:1:89:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:89:56:89:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:89:82:89:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:89:83:89:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:90:1:90:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:90:56:90:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:90:82:90:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:90:83:90:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:91:1:91:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:91:55:91:55: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:91:82:91:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:91:83:91:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:92:1:92:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:92:57:92:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:92:59:92:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:92:82:92:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:92:83:92:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:93:1:93:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:93:57:93:57: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:93:59:93:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:93:82:93:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:93:83:93:83: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:94:1:94:85: s103 line too long
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:94:56:94:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:94:82:94:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/varsfromjobname/varsfromjobname.sty:94:83:94:83: s204 missing stylistic whitespaces
