texmf-dist/tex/latex/xmeaning/xmeaning.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/xmeaning/xmeaning.sty:37:17:37:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:37:24:37:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:38:17:38:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:38:22:38:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:38:23:38:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:39:17:39:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:39:28:39:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:40:33:40:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:40:41:40:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:42:22:42:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:42:30:42:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:43:22:43:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:43:34:43:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:44:22:44:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:44:32:44:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:45:22:45:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:45:32:45:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:46:22:46:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:46:28:46:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:47:22:47:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:47:80:47:80: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:50:18:50:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:50:23:50:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:50:24:50:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:50:25:50:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:50:35:50:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:50:36:50:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:59:5:59:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:62:1:64:1: w429 defined an unexpandable function as unprotected
texmf-dist/tex/latex/xmeaning/xmeaning.sty:63:3:63:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:63:17:63:30: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:67:3:67:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:103:12:103:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:103:21:103:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:108:10:108:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:108:19:108:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:113:12:113:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:113:21:113:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:118:10:118:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:118:19:118:19: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:124:19:124:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:124:19:124:28: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:130:14:130:57: w416 setting an undeclared variable
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:1:136:106: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:34:136:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:45:136:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:48:136:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:59:136:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:60:136:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:71:136:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:82:136:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:98:136:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:136:98:136:106: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:137:35:137:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:137:35:137:43: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:138:43:138:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:138:43:138:51: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:139:44:139:52: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:139:44:139:52: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:140:69:140:77: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:140:69:140:77: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:141:42:141:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:141:42:141:50: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:142:48:142:56: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:142:48:142:56: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:150:1:150:122: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:150:56:150:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:150:113:150:113: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:150:114:150:122: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:150:114:150:122: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:159:1:159:122: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:159:56:159:72: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:159:113:159:113: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:159:114:159:122: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:159:114:159:122: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:161:54:161:62: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:173:1:173:97: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:184:8:184:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:184:8:184:17: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:196:12:196:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:196:12:196:21: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:197:65:197:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:197:65:197:74: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:198:68:198:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:198:68:198:76: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:234:54:234:63: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:235:1:235:93: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:235:84:235:93: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:236:1:236:97: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:236:88:236:97: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:237:1:237:89: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:237:80:237:89: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:238:1:238:82: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:240:5:240:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:245:1:245:81: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:251:1:251:87: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:1:252:106: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:34:252:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:45:252:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:48:252:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:59:252:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:60:252:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:71:252:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:82:252:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:98:252:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:252:98:252:106: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:253:41:253:49: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:254:1:254:101: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:254:92:254:92: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:254:93:254:101: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:254:93:254:101: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:255:37:255:46: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:256:5:256:15: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:1:261:106: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:34:261:44: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:45:261:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:48:261:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:59:261:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:60:261:70: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:71:261:81: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:82:261:82: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:98:261:106: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xmeaning/xmeaning.sty:261:98:261:106: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:262:1:262:81: s103 line too long
texmf-dist/tex/latex/xmeaning/xmeaning.sty:262:73:262:81: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:284:9:284:17: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xmeaning/xmeaning.sty:305:13:305:21: s204 missing stylistic whitespaces
