texmf-dist/tex/latex/xpatch/xpatch.sty:46:5:46:33: t422 using a variable of an incompatible type
texmf-dist/tex/latex/xpatch/xpatch.sty:40:5:40:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xpatch/xpatch.sty:42:17:42:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:42:32:42:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:46:18:46:33: s413 malformed variable or constant name
texmf-dist/tex/latex/xpatch/xpatch.sty:125:32:125:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:125:34:125:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:126:32:126:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:126:34:126:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:127:32:127:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:127:34:127:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:128:34:128:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:138:44:138:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:138:45:138:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:138:46:138:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:139:1:139:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:140:44:140:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:140:45:140:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:140:46:140:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:141:1:141:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:142:44:142:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:142:45:142:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:142:46:142:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:143:1:143:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:144:43:144:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:144:44:144:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:144:45:144:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:146:43:146:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:146:44:146:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:146:45:146:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:147:1:147:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:148:43:148:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:148:44:148:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:148:45:148:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:149:1:149:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:150:43:150:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:150:44:150:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:150:45:150:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:151:1:151:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:152:42:152:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:152:43:152:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:152:44:152:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:154:43:154:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:154:44:154:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:154:45:154:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:155:1:155:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:156:43:156:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:156:44:156:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:156:45:156:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:157:1:157:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:158:43:158:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:158:44:158:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:158:45:158:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:159:1:159:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:160:42:160:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:160:43:160:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:160:44:160:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:162:49:162:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:162:50:162:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:162:51:162:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:163:1:163:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:164:49:164:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:164:50:164:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:164:51:164:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:165:1:165:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:166:49:166:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:166:50:166:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:166:51:166:51: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:167:1:167:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:168:48:168:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:168:49:168:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:168:50:168:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:170:48:170:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:170:49:170:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:170:50:170:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:171:1:171:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:172:48:172:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:172:49:172:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:172:50:172:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:173:1:173:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:174:48:174:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:174:49:174:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:174:50:174:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:175:1:175:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:176:47:176:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:176:48:176:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:176:49:176:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:178:48:178:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:178:49:178:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:178:50:178:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:179:1:179:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:180:48:180:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:180:49:180:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:180:50:180:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:181:1:181:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:182:48:182:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:182:49:182:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:182:50:182:50: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:183:1:183:82: s103 line too long
texmf-dist/tex/latex/xpatch/xpatch.sty:184:47:184:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:184:48:184:48: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:184:49:184:49: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:187:29:187:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpatch/xpatch.sty:189:29:189:29: s204 missing stylistic whitespaces
