texmf-dist/tex/latex/xpiano/xpiano.sty:27:5:27:19: w200 "do not use" argument specifiers
texmf-dist/tex/latex/xpiano/xpiano.sty:29:17:29:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:29:23:29:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:14:30:14: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:26:30:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:27:30:27: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:28:30:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:31:30:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:32:30:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:33:30:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:30:42:30:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:31:31:31:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:31:34:31:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:31:36:31:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:35:36:35:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:31:39:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:32:39:32: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:33:39:33: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:35:39:35: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:36:39:36: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:38:39:38: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:39:39:39: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:41:39:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:42:39:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:44:39:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:45:39:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:39:47:39:47: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:65:30:65:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:65:42:65:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:197:26:197:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:197:27:197:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:197:46:197:46: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:198:10:198:10: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:198:17:198:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:198:18:198:18: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:198:19:198:37: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:198:39:198:58: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:198:59:198:59: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:22:200:22: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:23:200:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:42:200:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:43:200:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:54:200:54: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:55:200:74: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:75:200:75: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:200:76:200:76: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:203:12:203:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:203:23:203:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:203:24:203:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:203:44:203:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:203:45:203:45: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:204:12:204:12: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:204:23:204:23: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:204:24:204:42: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:204:43:204:43: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:204:44:204:44: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:205:8:205:26: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:205:30:205:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:205:41:205:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:205:42:205:61: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:205:62:205:62: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:205:63:205:63: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:206:10:206:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:206:30:206:30: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:206:31:206:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xpiano/xpiano.sty:206:42:206:42: s204 missing stylistic whitespaces
