texmf-dist/tex/latex/xstacks/xstacks.sty:54:1:54:55: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:57:1:57:53: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:58:1:58:53: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:60:1:60:48: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:62:1:62:53: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:63:1:63:63: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:64:1:64:61: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:65:1:65:49: e411 indirect function definition from an undefined function
texmf-dist/tex/latex/xstacks/xstacks.sty:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/latex/xstacks/xstacks.sty:21:17:21:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:21:24:21:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:21:25:21:25: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:32:17:32:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:32:28:32:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:33:34:33:34: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:33:41:33:41: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:35:21:35:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:35:28:35:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:36:21:36:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:36:28:36:28: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:37:21:37:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:37:31:37:31: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:38:21:38:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:38:24:38:24: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:39:1:39:91: s103 line too long
texmf-dist/tex/latex/xstacks/xstacks.sty:39:21:39:21: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:39:91:39:91: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:50:17:50:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:50:29:50:29: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:51:17:51:17: s204 missing stylistic whitespaces
texmf-dist/tex/latex/xstacks/xstacks.sty:51:31:51:31: s204 missing stylistic whitespaces
