texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:22:11:22:26: e201 unknown argument specifiers
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:3:21:3:21: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:3:45:3:45: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:3:46:3:46: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:3:47:3:47: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:3:57:3:57: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:6:21:6:21: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:6:43:6:43: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:8:19:8:37: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:8:42:8:42: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:9:25:9:25: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:9:35:9:35: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:9:36:9:36: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:13:13:13:40: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:13:41:13:41: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:13:42:13:42: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:15:31:15:52: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:16:31:16:46: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:17:32:17:48: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:19:30:19:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:19:44:19:44: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:21:41:21:41: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:21:42:21:68: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:22:47:22:47: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:22:48:22:74: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:22:75:22:75: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:24:30:24:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:24:44:24:44: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:25:50:25:50: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:29:44:29:44: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:30:29:30:29: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:30:49:30:49: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:30:50:30:50: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:30:70:30:70: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:30:73:30:73: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:30:74:30:74: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:32:29:32:29: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:32:59:32:59: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:32:60:32:60: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:32:61:32:61: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luamml/luamml-patches-mathtools.sty:32:65:32:65: s204 missing stylistic whitespaces
