texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:243:5:243:38: e408 calling an undefined function
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:281:23:281:23: e304 unexpected parameter number
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:107:25:107:25: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:107:31:107:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:109:31:109:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:109:34:109:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:110:1:110:83: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:111:34:111:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:111:38:111:38: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:126:30:126:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:126:34:126:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:130:25:130:25: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:130:31:130:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:143:29:143:29: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:143:33:143:33: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:147:25:147:25: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:147:37:147:37: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:148:1:148:81: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:149:34:149:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:149:38:149:38: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:156:29:156:29: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:156:33:156:33: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:160:25:160:25: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:160:30:160:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:161:1:161:81: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:162:33:162:33: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:162:36:162:36: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:164:31:164:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:164:34:164:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:165:1:165:83: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:166:34:166:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:166:38:166:38: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:184:38:184:38: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:184:42:184:42: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:187:39:187:39: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:187:43:187:43: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:227:1:227:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:228:1:228:92: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:230:1:230:86: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:231:1:231:93: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:240:34:240:34: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:247:1:247:89: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:247:62:247:87: w419 using an undeclared variable or constant
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:249:1:249:91: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:249:63:249:89: w419 using an undeclared variable or constant
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:251:1:251:84: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:251:57:251:82: w419 using an undeclared variable or constant
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:253:1:253:98: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:253:64:253:96: w419 using an undeclared variable or constant
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:255:1:255:96: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:255:63:255:94: w419 using an undeclared variable or constant
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:295:48:295:48: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:296:48:296:48: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:391:1:391:57: w401 unused private function
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:408:1:408:105: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:410:1:410:84: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:433:1:433:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:434:1:434:89: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:439:1:439:83: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:444:1:444:87: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:476:1:476:91: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:477:1:477:91: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:478:1:478:109: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:480:1:480:91: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:481:67:481:67: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:483:1:483:109: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:488:22:488:22: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:509:1:509:84: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:514:1:514:88: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:542:1:542:102: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:543:1:543:103: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:546:1:546:84: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:566:1:566:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:567:1:567:89: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:572:1:572:83: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:577:1:577:87: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:618:30:618:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:618:31:618:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:620:30:620:30: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/banxin/luatex-cn-banxin.sty:620:31:620:31: s204 missing stylistic whitespaces
