texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:24:1:24:13: w101 unexpected delimiters
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:47:10:47:10: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:47:13:47:13: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:48:10:48:10: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:48:13:48:13: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:49:1:49:81: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:49:10:49:10: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:49:16:49:16: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:50:1:50:81: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:50:10:50:10: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:50:16:50:16: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:60:28:60:28: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:60:31:60:31: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:76:1:76:85: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:77:1:77:92: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:79:1:79:86: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:80:1:80:93: s103 line too long
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:89:29:89:29: s204 missing stylistic whitespaces
texmf-dist/tex/lualatex/luatex-cn/core/luatex-cn-core-table.sty:89:30:89:30: s204 missing stylistic whitespaces
