texmf-dist/tex/luatex/luatexja/ltjarticle.cls:363:15:363:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:320:26:320:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:320:34:320:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:320:43:320:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:320:44:320:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:321:38:321:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:321:57:321:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:327:10:327:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:327:16:327:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:327:17:327:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:328:24:328:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:329:36:329:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:329:39:329:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:330:37:330:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:330:38:330:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:330:47:330:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:330:60:330:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:330:76:330:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:331:27:331:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:331:40:331:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:331:55:331:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:332:6:332:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:332:7:332:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:333:28:333:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:334:6:334:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:14:338:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:21:338:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:22:338:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:25:338:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:26:338:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:27:338:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:338:28:338:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:340:12:340:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:340:19:340:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:340:25:340:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:342:25:342:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjarticle.cls:343:8:343:8: s204 missing stylistic whitespaces
