texmf-dist/tex/luatex/luatexja/ltjbook.cls:396:15:396:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjbook.cls:353:26:353:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:353:34:353:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:353:43:353:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:353:44:353:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:354:38:354:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:354:57:354:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:360:10:360:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:360:16:360:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:360:17:360:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:361:24:361:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:362:36:362:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:362:39:362:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:363:37:363:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:363:38:363:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:363:47:363:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:363:60:363:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:363:76:363:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:364:27:364:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:364:40:364:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:364:55:364:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:365:6:365:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:365:7:365:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:366:28:366:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:367:6:367:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:14:371:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:21:371:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:22:371:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:25:371:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:26:371:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:27:371:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:371:28:371:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:373:12:373:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:373:19:373:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:373:25:373:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:375:25:375:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:376:8:376:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:376:14:376:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:378:8:378:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:378:17:378:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:378:18:378:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:379:15:379:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:379:23:379:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:379:24:379:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:379:25:379:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:379:26:379:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:379:27:379:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:391:4:391:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:393:26:393:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:395:40:395:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:395:59:395:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:396:1:396:82: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjbook.cls:397:32:397:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:397:43:397:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:397:51:397:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:397:53:397:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:398:58:398:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:398:67:398:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:398:68:398:68: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:399:37:399:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:400:64:400:64: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:402:20:402:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjbook.cls:402:56:402:56: s204 missing stylistic whitespaces
