texmf-dist/tex/luatex/luatexja/ltjreport.cls:384:15:384:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjreport.cls:341:26:341:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:341:34:341:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:341:43:341:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:341:44:341:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:342:38:342:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:342:57:342:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:348:10:348:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:348:16:348:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:348:17:348:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:349:24:349:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:350:36:350:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:350:39:350:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:351:37:351:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:351:38:351:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:351:47:351:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:351:60:351:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:351:76:351:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:352:27:352:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:352:40:352:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:352:55:352:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:353:6:353:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:353:7:353:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:354:28:354:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:355:6:355:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:14:359:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:21:359:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:22:359:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:25:359:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:26:359:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:27:359:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:359:28:359:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:361:12:361:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:361:19:361:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:361:25:361:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:363:25:363:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:364:8:364:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:364:14:364:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:366:8:366:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:366:17:366:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:366:18:366:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:367:15:367:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:367:23:367:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:367:24:367:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:367:25:367:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:367:26:367:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:367:27:367:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:379:4:379:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:381:26:381:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:383:40:383:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:383:59:383:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:384:1:384:82: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjreport.cls:385:32:385:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjreport.cls:385:43:385:43: s204 missing stylistic whitespaces
