texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:735:17:735:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:671:26:671:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:671:27:671:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:672:12:672:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:672:21:672:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:672:22:672:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:673:42:673:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:673:61:673:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:679:31:679:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:680:16:680:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:680:22:680:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:689:28:689:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:690:14:690:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:690:20:690:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:693:14:693:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:693:20:693:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:693:21:693:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:694:28:694:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:695:40:695:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:695:43:695:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:696:1:696:81: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:696:41:696:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:696:42:696:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:696:51:696:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:696:64:696:79: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:696:80:696:80: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:697:31:697:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:697:44:697:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:697:59:697:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:698:10:698:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:698:11:698:11: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:699:32:699:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:700:10:700:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:18:704:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:25:704:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:26:704:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:29:704:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:30:704:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:31:704:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:704:32:704:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:706:16:706:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:706:23:706:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:706:29:706:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:708:29:708:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:709:12:709:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:709:18:709:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:709:19:709:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:713:10:713:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:713:19:713:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:713:20:713:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:714:17:714:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:714:25:714:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:714:26:714:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:714:27:714:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:714:28:714:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:714:29:714:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:725:4:725:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:727:26:727:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:729:42:729:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:729:61:729:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:730:55:730:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:731:78:731:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:734:69:734:69: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:734:73:734:73: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:735:1:735:84: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:750:17:750:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:750:25:750:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:750:26:750:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:750:27:750:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:750:28:750:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:750:29:750:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:762:19:762:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:765:12:765:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:765:18:765:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:765:19:765:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:767:26:767:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:768:38:768:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:768:41:768:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:769:39:769:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:769:40:769:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:769:49:769:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:769:62:769:77: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:769:78:769:78: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:770:29:770:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:770:42:770:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:770:57:770:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:771:8:771:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:771:9:771:9: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:772:30:772:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:773:8:773:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsarticle.cls:777:16:777:16: s204 missing stylistic whitespaces
