texmf-dist/tex/luatex/luatexja/ltjsbook.cls:751:17:751:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:687:26:687:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:687:27:687:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:688:12:688:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:688:21:688:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:688:22:688:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:689:42:689:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:689:61:689:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:695:31:695:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:696:16:696:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:696:22:696:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:705:28:705:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:706:14:706:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:706:20:706:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:709:14:709:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:709:20:709:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:709:21:709:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:710:28:710:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:711:40:711:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:711:43:711:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:712:1:712:81: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:712:41:712:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:712:42:712:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:712:51:712:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsbook.cls:712:64:712:79: s204 missing stylistic whitespaces
