texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:696:17:696:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:632:26:632:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:632:27:632:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:633:12:633:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:633:21:633:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:633:22:633:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:634:42:634:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:634:61:634:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:640:31:640:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:641:16:641:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:641:22:641:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:650:28:650:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:651:14:651:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:651:20:651:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:654:14:654:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:654:20:654:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:654:21:654:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:655:28:655:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:656:40:656:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:656:43:656:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:657:1:657:81: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:657:41:657:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:657:42:657:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:657:51:657:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:657:64:657:79: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:657:80:657:80: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:658:31:658:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:658:44:658:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:658:59:658:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:659:10:659:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:659:11:659:11: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:660:32:660:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:661:10:661:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:18:665:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:25:665:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:26:665:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:29:665:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:30:665:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:31:665:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:665:32:665:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:667:16:667:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:667:23:667:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:667:29:667:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:669:29:669:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:670:12:670:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:670:18:670:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:670:19:670:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:674:10:674:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:674:19:674:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:674:20:674:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:675:17:675:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:675:25:675:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:675:26:675:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:675:27:675:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:675:28:675:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:675:29:675:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:686:4:686:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:688:26:688:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:690:42:690:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjskiyou.cls:690:61:690:61: s204 missing stylistic whitespaces
