texmf-dist/tex/luatex/luatexja/ltjsreport.cls:723:17:723:37: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:659:26:659:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:659:27:659:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:660:12:660:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:660:21:660:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:660:22:660:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:661:42:661:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:661:61:661:61: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:667:31:667:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:668:16:668:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:668:22:668:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:677:28:677:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:678:14:678:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:678:20:678:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:681:14:681:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:681:20:681:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:681:21:681:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:682:28:682:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:683:40:683:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:683:43:683:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:684:1:684:81: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:684:41:684:41: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:684:42:684:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:684:51:684:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:684:64:684:79: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:684:80:684:80: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:685:31:685:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:685:44:685:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:685:59:685:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:686:10:686:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:686:11:686:11: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:687:32:687:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:688:10:688:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:18:692:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:25:692:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:26:692:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjsreport.cls:692:29:692:29: s204 missing stylistic whitespaces
