texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:367:15:367:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:321:26:321:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:321:34:321:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:321:43:321:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:321:44:321:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:322:38:322:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:322:57:322:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:330:10:330:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:330:16:330:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:330:17:330:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:331:24:331:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:332:36:332:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:332:39:332:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:333:37:333:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:333:38:333:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:333:47:333:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:333:60:333:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:333:76:333:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:334:27:334:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:334:40:334:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:334:55:334:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtarticle.cls:335:6:335:6: s204 missing stylistic whitespaces
