texmf-dist/tex/luatex/luatexja/ltjtbook.cls:400:15:400:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:354:26:354:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:354:34:354:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:354:43:354:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:354:44:354:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:355:38:355:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:355:57:355:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:363:10:363:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:363:16:363:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:363:17:363:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:364:24:364:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:365:36:365:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:365:39:365:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:366:37:366:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:366:38:366:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:366:47:366:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:366:60:366:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:366:76:366:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:367:27:367:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:367:40:367:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:367:55:367:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:368:6:368:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:368:7:368:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:369:28:369:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:370:6:370:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:14:374:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:21:374:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:22:374:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:25:374:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:26:374:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:27:374:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:374:28:374:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:376:12:376:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:376:19:376:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:376:25:376:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:378:25:378:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:379:8:379:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:379:14:379:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:382:8:382:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:382:17:382:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:382:18:382:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:383:15:383:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:383:23:383:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:383:24:383:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:383:25:383:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:383:26:383:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:383:27:383:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:395:4:395:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:397:26:397:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:399:40:399:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:399:59:399:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:400:1:400:82: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:401:32:401:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:401:43:401:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:401:51:401:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:401:53:401:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:402:58:402:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:402:67:402:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:402:68:402:68: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:403:37:403:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:404:64:404:64: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:406:38:406:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:406:42:406:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:416:21:416:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:416:27:416:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:418:15:418:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtbook.cls:418:23:418:23: s204 missing stylistic whitespaces
