texmf-dist/tex/luatex/luatexja/ltjtreport.cls:388:15:388:35: e201 unknown argument specifiers
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:342:26:342:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:342:34:342:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:342:43:342:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:342:44:342:44: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:343:38:343:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:343:57:343:57: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:351:10:351:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:351:16:351:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:351:17:351:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:352:24:352:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:353:36:353:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:353:39:353:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:354:37:354:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:354:38:354:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:354:47:354:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:354:60:354:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:354:76:354:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:355:27:355:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:355:40:355:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:355:55:355:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:356:6:356:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:356:7:356:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:357:28:357:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:358:6:358:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:14:362:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:21:362:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:22:362:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:25:362:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:26:362:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:27:362:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:362:28:362:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:364:12:364:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:364:19:364:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:364:25:364:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:366:25:366:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:367:8:367:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:367:14:367:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:370:8:370:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:370:17:370:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:370:18:370:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:371:15:371:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:371:23:371:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:371:24:371:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:371:25:371:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:371:26:371:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:371:27:371:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:383:4:383:4: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:385:26:385:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:387:40:387:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:387:59:387:59: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:388:1:388:82: s103 line too long
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:389:32:389:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:389:43:389:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:389:51:389:51: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:389:53:389:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:390:58:390:58: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:390:67:390:67: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:390:68:390:68: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:391:37:391:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:392:64:392:64: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:394:38:394:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:394:42:394:42: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:404:21:404:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:404:27:404:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:406:15:406:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:406:23:406:23: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:406:24:406:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:406:25:406:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:406:26:406:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:406:27:406:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:420:19:420:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:423:10:423:10: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:423:16:423:16: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:423:17:423:17: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:425:24:425:24: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:426:36:426:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:426:39:426:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:427:37:427:37: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:427:38:427:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:427:47:427:47: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:427:60:427:75: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:427:76:427:76: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:428:27:428:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:428:40:428:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:428:55:428:55: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:429:6:429:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:429:7:429:7: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:430:28:430:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:431:6:431:6: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:14:435:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:21:435:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:22:435:22: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:25:435:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:26:435:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:27:435:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:435:28:435:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:437:12:437:12: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:437:19:437:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:437:25:437:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:439:20:439:20: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:440:8:440:8: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:440:14:440:14: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:440:15:440:15: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:441:19:441:19: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:18:573:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:25:573:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:26:573:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:27:573:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:31:573:31: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:32:573:32: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:33:573:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:573:40:573:40: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:587:21:587:21: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:587:26:587:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:587:27:587:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:18:592:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:28:592:28: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:29:592:29: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:30:592:30: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:34:592:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:35:592:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:36:592:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:592:43:592:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:596:35:596:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:596:38:596:38: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:596:39:596:39: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:596:49:596:49: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:596:50:596:50: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:596:53:596:53: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:597:26:597:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:597:33:597:33: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:18:599:18: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:25:599:25: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:26:599:26: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:27:599:27: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:34:599:34: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:35:599:35: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:36:599:36: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:599:43:599:43: s204 missing stylistic whitespaces
texmf-dist/tex/luatex/luatexja/ltjtreport.cls:607:21:607:21: s204 missing stylistic whitespaces
