texmf-dist/tex/plain/mkpattern/mkpatter.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/plain/mkpattern/mkpatter.tex:39:36:39:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:48:5:48:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:48:5:48:14: w200 "do not use" argument specifiers
texmf-dist/tex/plain/mkpattern/mkpatter.tex:48:39:48:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:48:39:48:48: w200 "do not use" argument specifiers
texmf-dist/tex/plain/mkpattern/mkpatter.tex:48:54:48:63: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:48:54:48:63: w200 "do not use" argument specifiers
texmf-dist/tex/plain/mkpattern/mkpatter.tex:52:10:52:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:52:52:52:52: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:53:13:53:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:54:13:54:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:60:5:60:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:60:12:60:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:60:13:60:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:60:20:60:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:70:32:70:32: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:78:46:78:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:78:47:78:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:80:47:80:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:80:48:80:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:83:46:83:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:83:47:83:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:85:47:85:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:85:48:85:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:90:34:90:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:98:5:98:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:98:15:98:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:101:32:101:32: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:101:74:101:74: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:101:75:101:75: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:108:1:108:81: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:108:10:108:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:108:81:108:81: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:110:1:110:85: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:112:31:112:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:114:31:114:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:115:37:115:37: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:116:35:116:35: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:118:57:118:57: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:118:59:118:59: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:123:1:123:116: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:123:116:123:116: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:129:16:129:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:130:30:130:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:132:29:132:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:132:36:132:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:133:18:133:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:133:24:133:24: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:145:10:145:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:154:46:154:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:161:12:161:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:165:27:165:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:178:48:178:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:183:18:183:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:183:23:183:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:184:18:184:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:191:22:191:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:196:5:196:9: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:196:10:196:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:197:47:197:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:203:17:203:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:207:29:207:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:207:35:207:35: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:208:18:208:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:208:24:208:24: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:208:28:208:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:214:5:214:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:214:11:214:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:214:15:214:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:218:12:218:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:218:13:218:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:218:14:218:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:221:15:221:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:221:21:221:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:222:18:222:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:224:15:224:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:230:70:230:70: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:238:1:238:82: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:246:11:246:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:253:11:253:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:255:12:255:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:270:14:270:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:270:15:270:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:270:17:270:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:271:15:271:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:271:16:271:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:314:9:314:9: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:315:19:315:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:316:18:316:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:321:64:321:64: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:322:44:322:44: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:323:40:323:40: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:327:1:327:96: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:340:13:340:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:340:70:340:70: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:342:22:342:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:345:5:345:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:345:30:345:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:347:11:347:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:351:13:351:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:353:41:353:41: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:359:1:359:108: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:364:5:364:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:364:26:364:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:364:31:364:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:364:56:364:56: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:364:62:364:62: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:364:65:364:65: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:5:365:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:26:365:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:31:365:55: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:56:365:56: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:62:365:62: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:63:365:63: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:64:365:64: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:365:65:365:65: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:367:46:367:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:367:50:367:50: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:368:5:368:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:368:17:368:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:373:15:373:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:383:11:383:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:385:22:385:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:388:75:388:75: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:388:76:388:76: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:397:13:397:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:400:5:400:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:400:17:400:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:403:11:403:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:403:23:403:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:415:10:415:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:415:22:415:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:419:14:419:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:421:16:421:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:424:1:424:81: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:424:81:424:81: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:427:1:427:81: s103 line too long
texmf-dist/tex/plain/mkpattern/mkpatter.tex:427:81:427:81: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:431:13:431:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:431:53:431:53: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:444:15:444:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:444:19:444:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:444:24:444:24: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:448:17:448:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:449:34:449:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:450:8:450:8: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:455:17:455:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:457:8:457:8: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:463:17:463:17: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:463:51:463:51: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:463:52:463:52: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:470:4:470:4: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:471:44:471:44: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:471:67:471:67: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:472:19:472:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:472:47:472:47: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:472:48:472:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:472:51:472:51: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:477:30:477:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:477:34:477:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:479:4:479:4: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:484:8:484:8: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:492:16:492:36: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:492:53:492:53: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:498:25:498:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:500:39:500:39: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:500:44:500:44: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:502:63:502:63: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:509:31:509:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:511:14:511:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:511:21:511:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:511:60:511:60: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:512:8:512:8: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:512:9:512:9: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:512:31:512:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:516:18:516:18: s204 missing stylistic whitespaces
texmf-dist/tex/plain/mkpattern/mkpatter.tex:517:11:517:11: s204 missing stylistic whitespaces
