texmf-dist/tex/plain/xintsession/xintsession.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/plain/xintsession/xintsession.tex:6:1:6:82: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:12:1:12:86: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:12:10:12:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:12:86:12:86: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:12:87:12:87: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:13:13:13:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:13:64:13:64: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:13:65:13:65: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:22:67:22:67: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:31:10:31:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:32:6:32:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:32:14:32:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:32:36:32:50: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:33:35:33:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:34:35:34:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:36:35:36:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:37:1:37:95: s103 line too long
texmf-dist/tex/plain/xintsession/xintsession.tex:37:35:37:48: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:37:95:37:95: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:37:96:37:96: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:38:19:38:25: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:38:26:38:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:38:27:38:34: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:40:11:40:21: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:40:22:40:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:40:39:40:39: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:40:56:40:62: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:40:63:40:63: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:40:64:40:64: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:42:2:42:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:42:5:42:5: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:44:14:44:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:44:15:44:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:49:28:49:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:49:31:49:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:49:37:49:37: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:55:13:55:15: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:55:16:55:16: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:55:22:55:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:55:41:55:41: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:55:46:55:46: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:55:64:55:64: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:56:2:56:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:57:19:57:19: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:57:20:57:20: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:60:2:60:2: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:60:3:60:3: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:61:5:61:10: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:61:11:61:11: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:61:12:61:12: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:61:13:61:13: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:61:14:61:14: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:22:62:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:23:62:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:27:62:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:28:62:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:29:62:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:30:62:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:31:62:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:32:62:32: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:62:33:62:33: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:22:63:22: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:23:63:23: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:26:63:26: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:27:63:27: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:28:63:28: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:29:63:29: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:30:63:30: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:31:63:31: s204 missing stylistic whitespaces
texmf-dist/tex/plain/xintsession/xintsession.tex:63:32:63:32: s204 missing stylistic whitespaces
