texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:1:30:1:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:1:44:1:44: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:15:13:15:13: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:15:22:15:22: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:16:11:16:11: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:16:15:16:15: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:31:13:31:13: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:31:17:31:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:14:34:14: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:17:34:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:18:34:18: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:19:34:19: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:23:34:23: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:24:34:24: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:25:34:25: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:34:31:34:31: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:36:32:36:32: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:36:35:36:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:37:32:37:32: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:37:35:37:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:38:60:38:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:38:66:38:66: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:39:60:39:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:39:66:39:66: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:42:15:42:15: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:44:52:44:52: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:44:60:44:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:46:15:46:15: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:48:23:48:23: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:48:26:48:26: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:49:38:49:38: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:49:41:49:41: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:50:24:50:24: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:50:29:50:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:51:24:51:24: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:51:29:51:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:52:24:52:24: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:52:29:52:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:52:37:52:37: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:52:51:52:51: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:58:28:58:28: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:58:33:58:33: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:63:30:63:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:63:35:63:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:63:43:63:43: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:63:57:63:57: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:64:12:64:12: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:64:17:64:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:70:10:70:25: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:70:40:70:55: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-hdu.stationery-module.code.tex:73:34:73:34: s204 missing stylistic whitespaces
