texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:1:30:1:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:1:36:1:36: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:3:17:3:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:3:72:3:72: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:4:62:4:62: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:4:63:4:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:4:70:4:70: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:6:12:6:12: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:6:17:6:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:7:31:7:31: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:7:35:7:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:8:35:8:35: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:8:42:8:42: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:8:43:8:43: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:8:52:8:52: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:8:58:8:58: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:8:59:8:59: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:9:34:9:34: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:9:41:9:41: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:9:42:9:42: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:9:51:9:51: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:9:56:9:56: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:9:57:9:57: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:10:37:10:37: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:10:44:10:44: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:10:45:10:45: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:10:54:10:54: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:10:62:10:62: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:10:63:10:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:12:11:12: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:28:11:28: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:29:11:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:38:11:38: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:39:11:39: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:45:11:45: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:11:46:11:46: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:12:12:12:12: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:12:27:12:27: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:12:28:12:28: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:12:41:12:41: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:19:13:19:13: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:19:19:19:19: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:19:20:19:20: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:19:21:19:21: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:20:13:20:13: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:20:18:20:18: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:20:19:20:19: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:20:20:20:20: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:37:33:37:33: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:37:36:37:36: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:38:33:38:33: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:38:46:38:46: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:39:34:39:34: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:39:48:39:48: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:40:36:40:36: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:40:49:40:49: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:46:44:46:44: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:62:26:62:26: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:62:27:62:27: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:94:59:94:59: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:94:60:94:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:94:63:94:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:94:64:94:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:95:59:95:59: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:95:60:95:60: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:95:63:95:63: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:95:64:95:64: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-layout-module.code.tex:97:60:97:60: s204 missing stylistic whitespaces
