texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:1:1:1:1: w100 no standard delimiters
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:1:30:1:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:1:37:1:37: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:6:9:6: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:15:9:15: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:16:9:16: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:17:9:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:27:9:27: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:28:9:28: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:29:9:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:37:9:37: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:38:9:38: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:39:9:39: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:9:48:9:48: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:6:10:6: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:17:10:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:18:10:18: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:19:10:19: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:29:10:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:30:10:30: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:31:10:31: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:42:10:42: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:43:10:43: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:44:10:44: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:10:54:10:54: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:13:13:13:13: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:13:17:13:17: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:15:51:15:51: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:15:53:15:53: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:15:54:15:54: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:15:55:15:55: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:15:59:15:59: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:16:51:16:51: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:16:55:16:55: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:16:56:16:56: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:16:57:16:57: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:16:61:16:61: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:18:14:18:14: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:18:27:18:27: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:23:14:23:14: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:23:26:23:26: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:33:21:33:21: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:33:29:33:29: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:35:23:35:23: s204 missing stylistic whitespaces
texmf-dist/tex/xelatex/hduthesis/hduthesis-typeset-module.code.tex:35:25:35:25: s204 missing stylistic whitespaces
